"","bio_var","Class1","Class2","Class3"
"648","OG0000790",NA,NA,NA
"649","OG0000791",NA,NA,NA
"650","OG0000792",NA,NA,NA
"651","OG0000793",NA,NA,NA
"652","OG0000794",NA,NA,NA
"653","OG0000795",NA,NA,NA
"654","OG0000796",NA,NA,NA
"655","OG0000797",NA,NA,NA
"656","OG0000798",NA,NA,NA
"657","OG0000799",NA,NA,NA
"658","OG0000800",NA,NA,NA
"659","OG0000801",NA,NA,NA
"660","OG0000802",NA,NA,NA
"662","OG0000804",NA,NA,NA
"663","OG0000805",NA,NA,NA
"664","OG0000806",NA,NA,NA
"666","OG0000808",NA,NA,NA
"669","OG0000811","TF","ZF-HD",NA
"670","OG0000812",NA,NA,NA
"671","OG0000813",NA,NA,NA
"672","OG0000814",NA,NA,NA
"673","OG0000815",NA,NA,NA
"674","OG0000816",NA,NA,NA
"675","OG0000817",NA,NA,NA
"676","OG0000818",NA,NA,NA
"677","OG0000819",NA,NA,NA
"678","OG0000820",NA,NA,NA
"679","OG0000821",NA,NA,NA
"680","OG0000822",NA,NA,NA
"682","OG0000825","cell wall development",NA,"cell wall expansion"
"683","OG0000826",NA,NA,NA
"684","OG0000827",NA,NA,NA
"685","OG0000828",NA,NA,NA
"687","OG0000830","cell wall development",NA,"lignin biosynthesis"
"688","OG0000831",NA,NA,NA
"689","OG0000832",NA,NA,NA
"691","OG0000834",NA,NA,NA
"693","OG0000836",NA,NA,NA
"694","OG0000837",NA,NA,NA
"695","OG0000838",NA,NA,NA
"696","OG0000839",NA,NA,NA
"697","OG0000840",NA,NA,NA
"698","OG0000841",NA,NA,NA
"700","OG0000843",NA,NA,NA
"701","OG0000844",NA,NA,NA
"702","OG0000850",NA,NA,NA
"704","OG0000852",NA,NA,NA
"705","OG0000853",NA,NA,NA
"706","OG0000854",NA,NA,NA
"709","OG0000858",NA,NA,NA
"710","OG0000859",NA,NA,NA
"711","OG0000860",NA,NA,NA
"712","OG0000861","photosynthesis","CBB cycle",NA
"713","OG0000862",NA,NA,NA
"714","OG0000863",NA,NA,NA
"715","OG0000864",NA,NA,NA
"716","OG0000865",NA,NA,NA
"717","OG0000867",NA,NA,NA
"718","OG0000868",NA,NA,NA
"719","OG0000869","TF","bHLH",NA
"720","OG0000870",NA,NA,NA
"721","OG0000871",NA,NA,NA
"722","OG0000872",NA,NA,NA
"723","OG0000873",NA,NA,NA
"724","OG0000874",NA,NA,NA
"725","OG0000875",NA,NA,NA
"726","OG0000876",NA,NA,NA
"728","OG0000878",NA,NA,NA
"729","OG0000879",NA,NA,NA
"730","OG0000880",NA,NA,NA
"731","OG0000881",NA,NA,NA
"732","OG0000882",NA,NA,NA
"733","OG0000883",NA,NA,NA
"734","OG0000884",NA,NA,NA
"735","OG0000885",NA,NA,NA
"736","OG0000886",NA,NA,NA
