,C3_S1,C3_S3,C3_S5,C3_S7
OG0004209,157.1166497,130.973674,169.2327434,158.8758184
OG0004211,5.238199912,15.00625373,7.236062741,4.465782865
OG0004215,1630.224183,49.50897394,1.148927586,0.79190585
OG0004216,2.735541281,3.063022423,2.474423786,2.15560447
OG0004218,136.5101646,498.272725,460.9899305,300.2445902
OG0004219,49.96876191,43.32849054,53.86257117,57.66868452
OG0004223,10.52748828,11.52618742,6.034156682,2.02892948
OG0004224,13.54247828,8.922579597,8.797439128,7.974208352
OG0004225,14.52861257,0.202001277,0.358153156,0.301934939
OG0004226,4.79510956,2.483556709,66.89121062,73.5990908
OG0004229,5.807093583,3.03795548,1.898975048,2.425660796
OG0004230,19.70766666,40.95424182,50.01939344,52.57847549
OG0004234,12.85485998,9.698072651,2.688564934,0.618644284
OG0004236,4.645198406,3.408772195,1.799061357,2.27085802
OG0004237,3.245204197,1.424276139,0.95107113,1.390359068
OG0004238,13.31355267,20.24456876,19.59866676,17.61852846
OG0004240,2.987175725,3.266101091,4.02343397,4.420254507
OG0004242,23.67492575,0.169081027,0.009461462,0.021922323
OG0004243,3.263380866,2.595753637,2.773228676,3.827884563
OG0004244,9.530138188,10.98553871,9.950740277,14.42728592
OG0004245,3.443728056,13.46238871,42.34762998,88.08887913
OG0004246,1.956246767,0.033952843,0.008308537,0.001975276
OG0004250,5.047867847,3.776575897,2.487941651,3.215331675
OG0004251,16.40255313,12.97336348,11.11244968,8.12172068
OG0004252,20.7998811,3.954166879,4.495971731,1.494318214
OG0004255,4.412932012,4.63242563,6.643095526,7.834251577
OG0004258,11.93134465,11.67081152,13.43844584,13.84094853
OG0004259,15.80343773,12.21329029,11.01268149,16.09917529
OG0004260,8.191077288,6.588863354,5.36446622,6.429759559
OG0004261,71.27312713,101.8869831,84.18648322,38.83899056
OG0004265,11.88790902,16.91908784,15.31816459,11.61312373
OG0004266,259.6463007,167.264894,169.7786287,162.7030774
OG0004267,10.16587527,8.440793932,4.812198753,3.529379945
OG0004268,7.444848708,6.846891673,5.502909887,6.517395459
OG0004270,13.2805224,12.42936994,8.357521844,7.834044134
OG0004271,18.73989574,26.39224275,31.73165392,37.44987222
OG0004272,9.934189977,13.12585844,18.04048925,16.73268748
