,PK_S1,PK_S3,PK_S5,PK_S7
OG0000731,35.42455957,366.0486109,45.18004519,7.981483956
OG0000732,12.47644863,11.79678665,4.485704207,0.542902314
OG0000733,73.58800629,33.61015156,13.70459688,17.70603602
OG0000735,38.27247987,62.94419908,67.29537396,5.29683006
OG0000736,18.56888981,28.61524668,30.29588634,35.89258679
OG0000738,9.947637476,10.32242465,11.57731953,12.46098213
OG0000741,280.6514256,533.9761059,1478.551993,1728.382192
OG0000742,30.96622519,73.38253135,82.15143838,134.7359472
OG0000744,1.57366754,2.650983577,2.338212225,2.931211883
OG0000745,24.15179996,15.86319998,15.23587048,18.0469794
OG0000746,40.71147362,85.54148871,83.5406023,66.52243289
OG0000747,37.36680955,35.40877538,50.60206576,58.48317067
OG0000748,5.192020037,120.1904852,72.69228103,20.50967659
OG0000749,64.39584331,66.24658586,467.6693053,753.6586193
OG0000750,0,0.100831423,0.26144935,0.73598556
OG0000751,24.42055082,22.98874426,47.76230571,65.09897773
OG0000752,5.771465437,9.425762793,17.58835253,71.09653933
OG0000753,0.105985831,23.26386875,51.74703007,59.58841908
OG0000754,1014.662183,641.0041574,642.6288363,368.0271729
OG0000755,32.91715615,235.4747849,607.8111503,480.9500011
OG0000757,88.4193315,156.7182399,171.7145844,268.4493798
OG0000758,7.386015701,23.99518957,16.02183096,23.25798647
OG0000759,3.231762522,14.90463312,35.66098512,80.12187785
OG0000760,113.0859031,92.2458246,83.82660364,68.78518934
OG0000761,101.4968907,67.27232363,64.6840747,69.35747551
OG0000762,86.03920203,82.94334808,123.0633959,135.3674029
OG0000763,13.18808711,17.76735241,18.98970854,17.8307209
OG0000764,48.56783498,32.22370026,56.11367385,155.959017
OG0000770,63.26374518,9.973965277,2.596286986,3.190390763
OG0000771,5.822887428,4.674969707,2.796993939,5.072322712
OG0000772,19.45178816,39.35860021,40.42753612,36.0911808
OG0000773,1868.779824,1055.389282,1037.641019,615.7751644
OG0000774,7.682106051,7.32391788,8.603660048,10.74981225
OG0000776,3.852686407,5.670810202,4.828780984,7.986559135
OG0000777,94.41530654,103.5916184,71.00062111,29.85715281
OG0000778,27.38120298,17.06333875,24.40814685,21.13131976
OG0000779,20.60471079,28.93262836,26.65906488,36.58737655
OG0000782,14.50432549,464.6794899,868.591725,298.8432083
OG0000783,4070.732244,43124.85238,161497.3584,170687.4385
OG0000784,1270.066628,625.2173983,587.8266239,327.3529685
OG0000785,646.1148289,400.2239994,372.7860969,208.0279489
OG0000788,305.8246461,269.599648,236.6438747,293.8649726
OG0000789,0.947891597,0.83996025,0.796504139,0.960899674
OG0000790,14.94480494,42.06388843,55.22870946,54.98490694
OG0000791,29.7432659,65.57465234,42.33207789,58.11941137
OG0000792,1379.655878,842.4751805,1448.880108,1687.891077
